,continent,country,population,cases,deaths,tests,day,time
0,North-America,Anguilla,15230.0,"{'new': None, 'active': 13, 'critical': 4, 'recovered': 3879, '1M_pop': '256336', 'total': 3904}","{'new': None, '1M_pop': '788', 'total': 12}","{'1M_pop': '3373736', 'total': 51382}",2023-05-30,2023-05-30T14:30:15+00:00
1,North-America,Saint-Pierre-Miquelon,5759.0,"{'new': None, 'active': 1001, 'critical': 1, 'recovered': 2449, '1M_pop': '599410', 'total': 3452}","{'new': None, '1M_pop': '347', 'total': 2}","{'1M_pop': '4410488', 'total': 25400}",2023-05-30,2023-05-30T14:30:15+00:00
2,Oceania,Tuvalu,12066.0,"{'new': None, 'active': 2805, 'critical': None, 'recovered': None, '1M_pop': '232471', 'total': 2805}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
3,Africa,Saint-Helena,6115.0,"{'new': None, 'active': 2164, 'critical': None, 'recovered': 2, '1M_pop': '354211', 'total': 2166}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
4,South-America,Falkland-Islands,3539.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1930, '1M_pop': '545352', 'total': 1930}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '2439107', 'total': 8632}",2023-05-30,2023-05-30T14:30:15+00:00
5,North-America,Montserrat,4965.0,"{'new': None, 'active': 19, 'critical': None, 'recovered': 1376, '1M_pop': '282578', 'total': 1403}","{'new': None, '1M_pop': '1611', 'total': 8}","{'1M_pop': '3577442', 'total': 17762}",2023-05-30,2023-05-30T14:30:15+00:00
6,,Diamond-Princess,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 699, '1M_pop': None, 'total': 712}","{'new': None, '1M_pop': None, 'total': 13}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
7,Europe,Vatican-City,799.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 29, '1M_pop': '36295', 'total': 29}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
8,Africa,Western-Sahara,626161.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 9, '1M_pop': '16', 'total': 10}","{'new': None, '1M_pop': '2', 'total': 1}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
9,,MS-Zaandam,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 7, '1M_pop': None, 'total': 9}","{'new': None, '1M_pop': None, 'total': 2}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
10,Oceania,Tokelau,1378.0,"{'new': None, 'active': 5, 'critical': None, 'recovered': None, '1M_pop': '3628', 'total': 5}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
11,Asia,China,1448471400.0,"{'new': None, 'active': 118977, 'critical': None, 'recovered': 379053, '1M_pop': '347', 'total': 503302}","{'new': None, '1M_pop': '4', 'total': 5272}","{'1M_pop': '110461', 'total': 160000000}",2023-05-30,2023-05-30T14:30:15+00:00
12,Oceania,Nauru,10903.0,"{'new': None, 'active': 45, 'critical': None, 'recovered': 5347, '1M_pop': '494635', 'total': 5393}","{'new': None, '1M_pop': '92', 'total': 1}","{'1M_pop': '1881042', 'total': 20509}",2023-05-30,2023-05-30T14:30:15+00:00
13,Oceania,Palau,18233.0,"{'new': '+9', 'active': 2, 'critical': None, 'recovered': 5998, '1M_pop': '329567', 'total': 6009}","{'new': None, '1M_pop': '494', 'total': 9}","{'1M_pop': '3824330', 'total': 69729}",2023-05-30,2023-05-30T14:30:15+00:00
14,Asia,Macao,667490.0,"{'new': None, 'active': 12, 'critical': None, 'recovered': 3487, '1M_pop': '5423', 'total': 3620}","{'new': None, '1M_pop': '181', 'total': 121}","{'1M_pop': '11760', 'total': 7850}",2023-05-30,2023-05-30T14:30:15+00:00
15,North-America,St-Barth,9945.0,"{'new': '+8', 'active': None, 'critical': None, 'recovered': None, '1M_pop': '552438', 'total': 5494}","{'new': None, '1M_pop': '603', 'total': 6}","{'1M_pop': '7908095', 'total': 78646}",2023-05-30,2023-05-30T14:30:15+00:00
16,Oceania,Kiribati,123419.0,"{'new': '+2', 'active': 2300, 'critical': 3, 'recovered': 2703, '1M_pop': '40731', 'total': 5027}","{'new': None, '1M_pop': '194', 'total': 24}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:15+00:00
17,Oceania,Wallis-and-Futuna,10982.0,"{'new': None, 'active': 3063, 'critical': None, 'recovered': 438, '1M_pop': '319432', 'total': 3508}","{'new': None, '1M_pop': '637', 'total': 7}","{'1M_pop': '1867419', 'total': 20508}",2023-05-30,2023-05-30T14:30:15+00:00
